Date,User,Message
2021-07-02 12:00:26,"스파르타코딩클럽","<웰컴포인트 소멸 안내>

강희윤님, 회원가입 기념 웰컴포인트 2만 포인트가 오늘 만료될 예정입니다.

수강신청 페이지 '포인트'란에서 강희윤님의 웰컴포인트를 사용하실 수 있습니다.

만료일이 지나면 웰컴포인트는 자동으로 소멸되어 사용이 불가합니다. 

감사합니다. 

스파르타코딩클럽 바로가기
> https://spartacodingclub.kr/

상담센"
2021-08-02 09:00:02,"스파르타코딩클럽","안녕하세요  님,

다음 주 월요일부터,
 의 주차 강의가 닫힙니다.

일요일까지만 수강 가능하시니, 이번 주 안에 꼬옥 마쳐주세요!"
2021-08-31 14:46:16,"스파르타코딩클럽","안녕하세요, 강희윤님.
동이 틀 때까지 달리는 9시간 코딩 마라톤, 🔥스파르톤🔥의 신청이 완료되었습니다!

📍행사 일정
일시: 2021.09.04 9p.m ~2021.09.05 6a.m
장소: 스파르톤의 메타버스 'Gather' (게더 접속링크는 행사 당일 안내드립니다.)

즐거움과 뿌듯함으로 채워질 스파르톤을 위해, 차주 두 가지를 전달드릴 예정입니"
2021-09-01 15:46:52,"스파르타코딩클럽","안녕하세요, 강희윤님.
🔥스파르톤🔥에서 목표를 향해 힘차게 달릴 준비하고 계신가요?

기다리시던 스파르톤을 2배로 즐길 수 있는 🗞가이드 맵🗞을 전달 드립니다!

맵 설명서와 완주 미션이 모두 포함되어 있으니, 아래 버튼을 눌러 꼼꼼히 살펴주세요!

강희윤님을 위해 정성껏 준비한 ‘스파르톤 키트’도 오늘 발송되었습니다. 두근거리는 마음으로 조금만 기"
2021-09-03 18:14:17,"스파르타코딩클럽","안녕하세요, 강희윤님.
내일이면 기다리시던 스파르톤이 시작됩니다🔥

9시간동안 열정적으로 코딩하고, 떠오르는 해를 맞을 준비 되셨나요?😉

스파르톤 행사장의 참여 링크는 09/03 저녁 7:00, 내일 발송드릴 예정입니다.
기대와 열정을 가득 안고, 내일 스파르톤에서 만나요🔥"
2021-09-04 14:59:40,"스파르타코딩클럽","강희윤님, 스파르톤의 아침이 밝았습니다!
스파르톤에서 집중력을 불태울 준비되셨나요?

스파르톤에 들고 오셔야 하는 준비물이 하나 있다면, 해뜰 때까지 타오를 열정뿐🔥

오늘 8:00p.m에, 코딩 레이스가 시작될 '경기장'이 전격 공개됩니다! 행사 시작 전까지, 스파르톤만의 메타버스를 마음껏 즐겨주세요.

찐-하게 코딩에 몰입할 준비하고, 우리 조금 있다"
2021-09-04 20:15:55,"스파르타코딩클럽","강희윤님, 열코딩할 준비되셨나요?
기다리시던 스파르톤 경기장이 드.디.어 전격 오픈되었습니다!

입장하시면 꼭 잊지 말아야 하는 건, 바로 체크인🖍  체크인을 작성해주셔야, 완주 미션의 첫 걸음을 내딛을 수 있어요!

일전에 보내드린 가이드맵을 활용하시면, 2배로 스파르톤을 즐기실 수 있으니 꼭 참조해주세요😉

9시간, 완주를 향한 🔥스파르톤🔥
지금"
2021-09-08 12:49:22,"희희","💘채널추가하고 할인코드 받기💘"
2021-09-08 12:49:21,"스파르타코딩클럽","스파르타와 친구가 되어주세요!👫

감사의 마음을 담아 정기적으로 할인코드를 보내드린답니다!

💛 사용방법: 듣고 싶은 수업을 선택하고, 결제시 할인코드란에 입력!

스파르타와 즐코하러 가볼까요?😽"
2021-09-08 14:16:58,"희희","📚더 많은 수업 둘러보기"
2021-09-08 14:16:58,"스파르타코딩클럽","레벨에 맞게 선택할 수 있는 다양한 강의

🎈재밌는걸 만들어 볼래! 초보코딩
🎈업무 효율 증가! 실무코딩
🎈커리어전환의 첫 걸음! 심화코딩

목적에 맞는 강의, 스파르타가 준비했어요!
얼리버드 혜택도 꼭 챙기세요💓"
2021-09-11 21:08:13,"스파르타코딩클럽","강희윤 님, 스파르타코딩클럽에 오신 걸 환영합니다! 

강희윤 님이 신청하신 음악 취미와 찰떡궁합인 코딩 수업들이 강희윤 님을 기다리고 있어요. 지금 바로 미션방에 입장하셔서 힙한 코딩 강의를 듣고, 미션을 수행해주세요!🎟

힙한 강희윤 님이 더 힙해질 수 있는 스파르타와 함께해요!👇"
2021-09-14 20:02:00,"스파르타코딩클럽","'스파르타코딩클럽' 채널을 추가해 주셔서 감사합니다.
앞으로 다양한 소식과 혜택/정보를 메시지로 받으실 수 있습니다.

코딩명가 스파르타코딩클럽에 오신 것을 환영합니다! 
코딩과 친해질 준비 되셨나요?

내 레벨에 맞춘 강의, 아래 버튼으로 찾아보세요!

채널 추가 일시(한국시간 기준): 2021년 09월 14일 20:01 
수신거부: 홈>채널 차단"
2021-09-14 20:03:27,"희희","💘채널추가하고 할인코드 받기💘"
2021-09-14 20:03:27,"스파르타코딩클럽","스파르타와 친구가 되어주세요!👫

감사의 마음을 담아 정기적으로 할인코드를 보내드린답니다!

💛 사용방법: 듣고 싶은 수업을 선택하고, 결제시 할인코드란에 입력!

스파르타와 즐코하러 가볼까요?😽"
2021-09-18 14:01:14,"스파르타코딩클럽","(광고)🔥아이폰13 증정 이벤트🔥
할인가에 코딩듣고, 아이폰13까지 받자!"
2021-09-23 00:22:22,"스파르타코딩클럽","스파르타 미션 START!👉

강희윤 님이 신청하신 파이썬 혼자놀기 패키지 미션의 제한 시간은 지금으로부터 48시간입니다! 09월 25일 00:21까지 강의를 모두 수강하고, 미션을 제출해주세요! 

미션 성공 시 자동 응모되는 초특급 경품들도 꼭  받아가세요!🎁

(꿀팁🍯 : 미션 중간중간 개발일지를 열심히 쓰면 경품 당첨 확률이 높아져요)"
2021-09-23 01:22:00,"스파르타코딩클럽","⏰ 벌써 미션 시작한지 1시간이 지났어요!

47시간이나 남았다고, 안심하지 말고! 지금부터 부지런히 수강해보시는 건 어떨까요~?

천리길도 한 걸음부터👣 일단 듣기 시작하면 너무 재밌어서 빠져나올 수 없을 걸요?! 강희윤 님이 빨리 미션을 완료할 수록 경품을 받아갈 확률이 높아져요!"
